n_events,hit_rate,baseline_hit,lift,coverage,binomial_p,random_p,null_mean,holdout_n_events,holdout_hit_rate,holdout_baseline,holdout_lift,pair,aspect,bh_significant
5,0.8,0.25195473034205146,3.1751735675449604,0.0013698918839174692,0.016087934809610287,0.011976047904191617,0.24680000000000002,2,0.5,0.23972547436415018,2.0857190973391715,mars-uranus,60.0,False
6,0.6666666666666666,0.25195473034205146,2.6459779729541335,0.0016438702607009632,0.03863789750706599,0.03792415169660679,0.24533333333333332,2,0.5,0.23972547436415018,2.0857190973391715,sun-neptune,60.0,False
6,0.6666666666666666,0.25195473034205146,2.6459779729541335,0.0016438702607009632,0.03863789750706599,0.03792415169660679,0.24533333333333332,2,0.5,0.23972547436415018,2.0857190973391715,venus-neptune,30.0,False
6,0.6666666666666666,0.25195473034205146,2.6459779729541335,0.0016438702607009632,0.03863789750706599,0.03792415169660679,0.24533333333333332,2,1.0,0.23972547436415018,4.171438194678343,sun-saturn,0.0,False
5,0.6,0.25195473034205146,2.38138017565872,0.0013698918839174692,0.10558799169221805,0.10179640718562874,0.24680000000000002,1,1.0,0.23972547436415018,4.171438194678343,sun-saturn,90.0,False
5,0.6,0.25195473034205146,2.38138017565872,0.0013698918839174692,0.10558799169221805,0.10179640718562874,0.24680000000000002,1,1.0,0.23972547436415018,4.171438194678343,sun-uranus,120.0,False
5,0.6,0.25195473034205146,2.38138017565872,0.0013698918839174692,0.10558799169221805,0.10179640718562874,0.24680000000000002,1,0.0,0.23972547436415018,0.0,venus-mars,45.0,False
5,0.6,0.25195473034205146,2.38138017565872,0.0013698918839174692,0.10558799169221805,0.10179640718562874,0.24680000000000002,1,1.0,0.23972547436415018,4.171438194678343,mercury-pluto,180.0,False
5,0.6,0.25195473034205146,2.38138017565872,0.0013698918839174692,0.10558799169221805,0.10179640718562874,0.24680000000000002,1,0.0,0.23972547436415018,0.0,sun-uranus,60.0,False
5,0.6,0.25195473034205146,2.38138017565872,0.0013698918839174692,0.10558799169221805,0.10179640718562874,0.24680000000000002,1,1.0,0.23972547436415018,4.171438194678343,venus-saturn,150.0,False
7,0.5714285714285714,0.25195473034205146,2.2679811196749715,0.001917848637484457,0.07237468336065585,0.0718562874251497,0.24857142857142853,1,0.0,0.23972547436415018,0.0,mercury-jupiter,0.0,False
7,0.5714285714285714,0.25195473034205146,2.2679811196749715,0.001917848637484457,0.07237468336065585,0.0718562874251497,0.24857142857142853,1,1.0,0.23972547436415018,4.171438194678343,mercury-neptune,90.0,False
6,0.5,0.25195473034205146,1.9844834797156001,0.0016438702607009632,0.17253808587737013,0.1497005988023952,0.24533333333333332,2,1.0,0.23972547436415018,4.171438194678343,sun-saturn,30.0,False
6,0.5,0.25195473034205146,1.9844834797156001,0.0016438702607009632,0.17253808587737013,0.1497005988023952,0.24533333333333332,2,0.5,0.23972547436415018,2.0857190973391715,sun-venus,30.0,False
6,0.5,0.25195473034205146,1.9844834797156001,0.0016438702607009632,0.17253808587737013,0.1497005988023952,0.24533333333333332,2,1.0,0.23972547436415018,4.171438194678343,venus-pluto,45.0,False
8,0.5,0.25195473034205146,1.9844834797156001,0.002191827014267951,0.11653880873532774,0.09580838323353294,0.24375,4,0.75,0.23972547436415018,3.1285786460087572,mercury-pluto,45.0,False
6,0.5,0.25195473034205146,1.9844834797156001,0.0016438702607009632,0.17253808587737013,0.1497005988023952,0.24533333333333332,2,0.5,0.23972547436415018,2.0857190973391715,venus-pluto,120.0,False
7,0.42857142857142855,0.25195473034205146,1.7009858397562287,0.001917848637484457,0.2476606377649057,0.23552894211576847,0.24857142857142853,1,0.0,0.23972547436415018,0.0,mercury-uranus,90.0,False
7,0.42857142857142855,0.25195473034205146,1.7009858397562287,0.001917848637484457,0.2476606377649057,0.23552894211576847,0.24857142857142853,1,0.0,0.23972547436415018,0.0,venus-neptune,150.0,False
5,0.4,0.25195473034205146,1.5875867837724802,0.0013698918839174692,0.3713107034438935,0.3652694610778443,0.24680000000000002,1,1.0,0.23972547436415018,4.171438194678343,mercury-neptune,135.0,False
5,0.4,0.25195473034205146,1.5875867837724802,0.0013698918839174692,0.3713107034438935,0.3652694610778443,0.24680000000000002,1,0.0,0.23972547436415018,0.0,mercury-saturn,120.0,False
5,0.4,0.25195473034205146,1.5875867837724802,0.0013698918839174692,0.3713107034438935,0.3652694610778443,0.24680000000000002,1,0.0,0.23972547436415018,0.0,mercury-saturn,135.0,False
5,0.4,0.25195473034205146,1.5875867837724802,0.0013698918839174692,0.3713107034438935,0.3652694610778443,0.24680000000000002,1,1.0,0.23972547436415018,4.171438194678343,sun-pluto,180.0,False
5,0.4,0.25195473034205146,1.5875867837724802,0.0013698918839174692,0.3713107034438935,0.3652694610778443,0.24680000000000002,1,0.0,0.23972547436415018,0.0,venus-uranus,150.0,False
5,0.4,0.25195473034205146,1.5875867837724802,0.0013698918839174692,0.3713107034438935,0.3652694610778443,0.24680000000000002,2,0.5,0.23972547436415018,2.0857190973391715,mars-saturn,135.0,False
5,0.4,0.25195473034205146,1.5875867837724802,0.0013698918839174692,0.3713107034438935,0.3652694610778443,0.24680000000000002,1,0.0,0.23972547436415018,0.0,venus-neptune,180.0,False
5,0.4,0.25195473034205146,1.5875867837724802,0.0013698918839174692,0.3713107034438935,0.3652694610778443,0.24680000000000002,1,0.0,0.23972547436415018,0.0,venus-jupiter,60.0,False
5,0.4,0.25195473034205146,1.5875867837724802,0.0013698918839174692,0.3713107034438935,0.3652694610778443,0.24680000000000002,1,0.0,0.23972547436415018,0.0,venus-saturn,180.0,False
5,0.4,0.25195473034205146,1.5875867837724802,0.0013698918839174692,0.3713107034438935,0.3652694610778443,0.24680000000000002,1,1.0,0.23972547436415018,4.171438194678343,venus-jupiter,150.0,False
5,0.4,0.25195473034205146,1.5875867837724802,0.0013698918839174692,0.3713107034438935,0.3652694610778443,0.24680000000000002,1,0.0,0.23972547436415018,0.0,mercury-pluto,150.0,False
5,0.4,0.25195473034205146,1.5875867837724802,0.0013698918839174692,0.3713107034438935,0.3652694610778443,0.24680000000000002,1,1.0,0.23972547436415018,4.171438194678343,mercury-jupiter,45.0,False
5,0.4,0.25195473034205146,1.5875867837724802,0.0013698918839174692,0.3713107034438935,0.3652694610778443,0.24680000000000002,1,1.0,0.23972547436415018,4.171438194678343,sun-jupiter,150.0,False
5,0.4,0.25195473034205146,1.5875867837724802,0.0013698918839174692,0.3713107034438935,0.3652694610778443,0.24680000000000002,1,1.0,0.23972547436415018,4.171438194678343,sun-jupiter,30.0,False
5,0.4,0.25195473034205146,1.5875867837724802,0.0013698918839174692,0.3713107034438935,0.3652694610778443,0.24680000000000002,1,1.0,0.23972547436415018,4.171438194678343,sun-venus,45.0,False
5,0.4,0.25195473034205146,1.5875867837724802,0.0013698918839174692,0.3713107034438935,0.3652694610778443,0.24680000000000002,1,0.0,0.23972547436415018,0.0,sun-neptune,120.0,False
5,0.4,0.25195473034205146,1.5875867837724802,0.0013698918839174692,0.3713107034438935,0.3652694610778443,0.24680000000000002,1,1.0,0.23972547436415018,4.171438194678343,sun-uranus,45.0,False
5,0.4,0.25195473034205146,1.5875867837724802,0.0013698918839174692,0.3713107034438935,0.3652694610778443,0.24680000000000002,0,,0.23972547436415018,,mars-neptune,90.0,False
5,0.4,0.25195473034205146,1.5875867837724802,0.0013698918839174692,0.3713107034438935,0.3652694610778443,0.24680000000000002,2,0.0,0.23972547436415018,0.0,mars-pluto,180.0,False
5,0.4,0.25195473034205146,1.5875867837724802,0.0013698918839174692,0.3713107034438935,0.3652694610778443,0.24680000000000002,1,0.0,0.23972547436415018,0.0,mercury-uranus,60.0,False
5,0.4,0.25195473034205146,1.5875867837724802,0.0013698918839174692,0.3713107034438935,0.3652694610778443,0.24680000000000002,1,0.0,0.23972547436415018,0.0,sun-saturn,180.0,False
5,0.4,0.25195473034205146,1.5875867837724802,0.0013698918839174692,0.3713107034438935,0.3652694610778443,0.24680000000000002,1,1.0,0.23972547436415018,4.171438194678343,sun-jupiter,90.0,False
8,0.375,0.25195473034205146,1.4883626097867002,0.002191827014267951,0.32633373518265246,0.30538922155688625,0.24375,4,0.25,0.23972547436415018,1.0428595486695857,venus-pluto,60.0,False
72,0.3611111111111111,0.25195473034205146,1.4332380686834891,0.01972644312841156,0.02595871888865299,0.021956087824351298,0.24722222222222223,19,0.10526315789473684,0.23972547436415018,0.4390987573345624,moon-pluto,150.0,False
73,0.3561643835616438,0.25195473034205146,1.4136046704823453,0.02000042150519505,0.030886807238106967,0.021956087824351298,0.25065753424657533,19,0.3684210526315789,0.23972547436415018,1.5368456506709685,moon-uranus,120.0,False
67,0.34328358208955223,0.25195473034205146,1.362481195028621,0.018356551244494087,0.06024697855139483,0.05788423153692615,0.2502686567164179,17,0.23529411764705882,0.23972547436415018,0.9815148693360807,sun-moon,0.0,False
6,0.3333333333333333,0.25195473034205146,1.3229889864770668,0.0016438702607009632,0.4706970122271552,0.4750499001996008,0.24533333333333332,2,0.5,0.23972547436415018,2.0857190973391715,sun-neptune,30.0,False
