timestamp_utc,body_1,body_2,aspect_angle,aspect_name,orb_resid_deg,relative_speed,body_1_speed,body_2_speed,crossing_rising,bar_index,candle_open_time
2021-01-06 23:23:16.963134+00:00,moon,pluto,270.0,square_lower,2.7755575615628914e-17,14.12503400408217,14.158066768092809,0.033032764010638385,True,5,2021-01-06 00:00:00+00:00
2021-01-13 07:22:04.976026+00:00,moon,pluto,0.0,conjunction,0.0,13.87282388031042,13.906097115875223,0.03327323556480341,True,12,2021-01-13 00:00:00+00:00
2021-01-20 08:28:54.182013+00:00,moon,pluto,90.0,square,0.0,11.862213958753882,11.89535425549775,0.033140296743868265,True,19,2021-01-20 00:00:00+00:00
2021-01-27 17:55:07.181060+00:00,moon,pluto,180.0,opposition,0.0,13.070981865044972,13.103553364604878,0.032571499559905216,True,26,2021-01-27 00:00:00+00:00
2021-02-03 06:14:59.599122+00:00,moon,pluto,270.0,square_lower,0.0,14.138837312385574,14.170578365107449,0.03174105272187557,True,33,2021-02-03 00:00:00+00:00
2021-02-09 17:21:41.261480+00:00,moon,pluto,0.0,conjunction,0.0,13.58202837208709,13.612630284138245,0.03060191205115589,True,39,2021-02-09 00:00:00+00:00
2021-02-16 18:32:27.275790+00:00,moon,pluto,90.0,square,0.0,11.93792824256037,11.966918488053937,0.02899024549356649,True,46,2021-02-16 00:00:00+00:00
2021-02-24 04:53:47.305208+00:00,moon,pluto,180.0,opposition,0.0,13.048411358533315,13.07533524769053,0.026923889157215688,True,54,2021-02-24 00:00:00+00:00
2021-03-02 14:09:21.039814+00:00,moon,pluto,270.0,square_lower,0.0,14.544283469587342,14.569175246315778,0.024891776728437256,True,60,2021-03-02 00:00:00+00:00
2021-03-09 00:52:20.962824+00:00,moon,pluto,0.0,conjunction,0.0,13.317414333119977,13.34001885575527,0.02260452263529323,True,67,2021-03-09 00:00:00+00:00
2021-03-16 03:40:14.789477+00:00,moon,pluto,90.0,square,0.0,11.977673374033477,11.99748144847401,0.019808074440533063,True,74,2021-03-16 00:00:00+00:00
2021-03-23 15:26:17.765352+00:00,moon,pluto,180.0,opposition,0.0,12.81435236072274,12.830976830545898,0.016624469823159137,True,81,2021-03-23 00:00:00+00:00
2021-03-30 00:07:48.430140+00:00,moon,pluto,270.0,square_lower,0.0,14.995739918858908,15.009523877937387,0.013783959078478954,True,88,2021-03-30 00:00:00+00:00
