timestamp_utc,pair,aspect_angle,aspect_name,orb_resid_deg,bar_index,candle_open_time
2024-06-24 05:50:18.698763+00:00,moon-pluto,0.0,conjunction,0.0,29,2024-06-24 05:00:00+00:00
2024-06-30 14:23:13.988482+00:00,moon-pluto,90.0,square,0.0,182,2024-06-30 14:00:00+00:00
2024-07-07 06:16:04.694025+00:00,moon-pluto,180.0,opposition,0.0,342,2024-07-07 06:00:00+00:00
2024-07-14 17:01:10.594374+00:00,moon-pluto,270.0,square_lower,0.0,521,2024-07-14 17:00:00+00:00
2024-07-21 13:14:29.811526+00:00,moon-pluto,0.0,conjunction,0.0,685,2024-07-21 13:00:00+00:00
2024-07-27 18:40:43.674506+00:00,moon-pluto,90.0,square,0.0,834,2024-07-27 18:00:00+00:00
2024-08-03 12:18:30.700949+00:00,moon-pluto,180.0,opposition,0.0,996,2024-08-03 12:00:00+00:00
2024-08-10 23:26:36.356167+00:00,moon-pluto,270.0,square_lower,0.0,1175,2024-08-10 23:00:00+00:00
2024-08-17 22:13:20.105764+00:00,moon-pluto,0.0,conjunction,0.0,1342,2024-08-17 22:00:00+00:00
2024-08-24 00:16:34.401632+00:00,moon-pluto,90.0,square,0.0,1488,2024-08-24 00:00:00+00:00
2024-08-30 17:13:51.007033+00:00,moon-pluto,180.0,opposition,0.0,1649,2024-08-30 17:00:00+00:00
2024-09-07 05:08:17.514042+00:00,moon-pluto,270.0,square_lower,0.0,1829,2024-09-07 05:00:00+00:00
2024-09-14 07:34:47.966297+00:00,moon-pluto,0.0,conjunction,0.0,1999,2024-09-14 07:00:00+00:00
2024-09-20 08:38:35.421409+00:00,moon-pluto,90.0,square,0.0,2144,2024-09-20 08:00:00+00:00
2024-09-26 22:12:17.189690+00:00,moon-pluto,180.0,opposition,0.0,2302,2024-09-26 22:00:00+00:00
2024-10-04 10:40:24.586281+00:00,moon-pluto,270.0,square_lower,0.0,2482,2024-10-04 10:00:00+00:00
2024-10-11 15:53:05.435862+00:00,moon-pluto,0.0,conjunction,0.0,2655,2024-10-11 15:00:00+00:00
2024-10-17 19:26:28.101037+00:00,moon-pluto,90.0,square,0.0,2803,2024-10-17 19:00:00+00:00
2024-10-24 04:47:28.005172+00:00,moon-pluto,180.0,opposition,0.0,2956,2024-10-24 04:00:00+00:00
2024-10-31 16:57:07.947463+00:00,moon-pluto,270.0,square_lower,0.0,3136,2024-10-31 16:00:00+00:00
2024-11-07 22:37:32.687979+00:00,moon-pluto,0.0,conjunction,0.0,3310,2024-11-07 22:00:00+00:00
2024-11-14 06:49:55.842461+00:00,moon-pluto,90.0,square,0.0,3462,2024-11-14 06:00:00+00:00
2024-11-20 13:52:20.390705+00:00,moon-pluto,180.0,opposition,0.0,3613,2024-11-20 13:00:00+00:00
2024-11-28 00:40:01.056401+00:00,moon-pluto,270.0,square_lower,0.0,3792,2024-11-28 00:00:00+00:00
2024-12-05 04:56:09.425402+00:00,moon-pluto,0.0,conjunction,0.0,3964,2024-12-05 04:00:00+00:00
2024-12-11 16:43:10.468811+00:00,moon-pluto,90.0,square,0.0,4120,2024-12-11 16:00:00+00:00
2024-12-18 00:49:58.916090+00:00,moon-pluto,180.0,opposition,0.0,4272,2024-12-18 00:00:00+00:00
2024-12-25 09:51:28.587962+00:00,moon-pluto,270.0,square_lower,0.0,4449,2024-12-25 09:00:00+00:00
2025-01-01 12:44:38.513067+00:00,moon-pluto,0.0,conjunction,0.0,4620,2025-01-01 12:00:00+00:00
2025-01-08 00:22:05.608320+00:00,moon-pluto,90.0,square,2.7755575615628914e-17,4776,2025-01-08 00:00:00+00:00
2025-01-14 11:53:13.382476+00:00,moon-pluto,180.0,opposition,0.0,4931,2025-01-14 11:00:00+00:00
2025-01-21 19:50:28.502311+00:00,moon-pluto,270.0,square_lower,0.0,5107,2025-01-21 19:00:00+00:00
2025-01-28 22:55:57.983890+00:00,moon-pluto,0.0,conjunction,0.0,5278,2025-01-28 22:00:00+00:00
2025-02-04 07:12:18.540913+00:00,moon-pluto,90.0,square,0.0,5431,2025-02-04 07:00:00+00:00
2025-02-10 21:20:35.537639+00:00,moon-pluto,180.0,opposition,0.0,5589,2025-02-10 21:00:00+00:00
2025-02-18 05:33:57.158854+00:00,moon-pluto,270.0,square_lower,0.0,5765,2025-02-18 05:00:00+00:00
2025-02-25 10:32:37.457864+00:00,moon-pluto,0.0,conjunction,5.551115123125783e-17,5938,2025-02-25 10:00:00+00:00
2025-03-03 15:27:20.204721+00:00,moon-pluto,90.0,square,0.0,6087,2025-03-03 15:00:00+00:00
2025-03-10 04:47:43.838198+00:00,moon-pluto,180.0,opposition,0.0,6244,2025-03-10 04:00:00+00:00
2025-03-17 14:10:59.077802+00:00,moon-pluto,270.0,square_lower,0.0,6422,2025-03-17 14:00:00+00:00
2025-03-24 21:33:49.804356+00:00,moon-pluto,0.0,conjunction,0.0,6597,2025-03-24 21:00:00+00:00
2025-03-31 01:52:49.941428+00:00,moon-pluto,90.0,square,0.0,6745,2025-03-31 01:00:00+00:00
2025-04-06 11:18:53.179272+00:00,moon-pluto,180.0,opposition,0.0,6899,2025-04-06 11:00:00+00:00
2025-04-13 21:26:41.265474+00:00,moon-pluto,270.0,square_lower,0.0,7077,2025-04-13 21:00:00+00:00
