n_events,hit_rate,baseline_hit,lift,coverage,binomial_p,random_p,null_mean,holdout_n_events,holdout_hit_rate,holdout_baseline,holdout_lift,pair,aspect,bh_significant
6,0.8333333333333334,0.352376137512639,2.364897178383549,0.021233569261880688,0.023025317797509645,0.023952095808383235,0.34646666666666665,2,0.5,0.3539651837524178,1.4125683060109289,venus-saturn,90.0,False
5,0.8,0.352376137512639,2.270301291248207,0.01769464105156724,0.05535799397288681,0.01996007984031936,0.3535333333333333,1,1.0,0.3539651837524178,2.8251366120218577,venus-jupiter,45.0,False
5,0.8,0.352376137512639,2.270301291248207,0.01769464105156724,0.05535799397288681,0.043912175648702596,0.3521,0,,0.3539651837524178,,mars-pluto,135.0,False
5,0.8,0.352376137512639,2.270301291248207,0.01769464105156724,0.05535799397288681,0.023952095808383235,0.3493333333333334,1,1.0,0.3539651837524178,2.8251366120218577,sun-saturn,180.0,False
7,0.7142857142857143,0.352376137512639,2.0270547243287558,0.024772497472194135,0.057205108435888635,0.07984031936127745,0.35753333333333337,3,0.6666666666666666,0.3539651837524178,1.8834244080145717,mercury-saturn,0.0,False
6,0.6666666666666666,0.352376137512639,1.8919177427068388,0.021233569261880688,0.12002334632364112,0.0718562874251497,0.3546333333333333,1,1.0,0.3539651837524178,2.8251366120218577,venus-neptune,150.0,False
6,0.6666666666666666,0.352376137512639,1.8919177427068388,0.021233569261880688,0.12002334632364112,0.08183632734530938,0.356,1,1.0,0.3539651837524178,2.8251366120218577,mercury-uranus,120.0,False
6,0.6666666666666666,0.352376137512639,1.8919177427068388,0.021233569261880688,0.12002334632364112,0.08582834331337326,0.3558333333333334,1,1.0,0.3539651837524178,2.8251366120218577,mercury-saturn,90.0,False
6,0.6666666666666666,0.352376137512639,1.8919177427068388,0.021233569261880688,0.12002334632364112,0.10179640718562874,0.3445,2,1.0,0.3539651837524178,2.8251366120218577,venus-neptune,30.0,False
6,0.6666666666666666,0.352376137512639,1.8919177427068388,0.021233569261880688,0.12002334632364112,0.08582834331337326,0.3504333333333333,2,0.5,0.3539651837524178,1.4125683060109289,sun-saturn,0.0,False
6,0.6666666666666666,0.352376137512639,1.8919177427068388,0.021233569261880688,0.12002334632364112,0.08582834331337326,0.3545,2,0.5,0.3539651837524178,1.4125683060109289,sun-pluto,45.0,False
5,0.6,0.352376137512639,1.7027259684361549,0.01769464105156724,0.23887028514905906,0.15768463073852296,0.3493333333333334,1,1.0,0.3539651837524178,2.8251366120218577,sun-saturn,90.0,False
5,0.6,0.352376137512639,1.7027259684361549,0.01769464105156724,0.23887028514905906,0.15768463073852296,0.3493333333333334,1,0.0,0.3539651837524178,0.0,sun-saturn,135.0,False
5,0.6,0.352376137512639,1.7027259684361549,0.01769464105156724,0.23887028514905906,0.17365269461077845,0.3537666666666667,1,1.0,0.3539651837524178,2.8251366120218577,sun-uranus,120.0,False
5,0.6,0.352376137512639,1.7027259684361549,0.01769464105156724,0.23887028514905906,0.17365269461077845,0.3537666666666667,1,1.0,0.3539651837524178,2.8251366120218577,sun-uranus,135.0,False
