n_context_bars,n_events,hit_rate,baseline_hit,lift,binomial_p,random_p,null_mean,holdout_n_events,holdout_hit_rate,holdout_baseline,holdout_lift,pair,aspect,bh_significant,context
210,5,0.6,0.319047619047619,1.8805970149253732,0.18917554314156282,0.1798201798201798,0.3094,1,0.0,0.3,0.0,moon-mars,30.0,False,dump_bottom
210,5,0.6,0.319047619047619,1.8805970149253732,0.18917554314156282,0.1798201798201798,0.3094,2,1.0,0.3,3.3333333333333335,moon-jupiter,120.0,False,dump_bottom
210,7,0.5714285714285714,0.319047619047619,1.791044776119403,0.15206382598055956,0.13886113886113885,0.31057142857142855,4,0.5,0.3,1.6666666666666667,moon-venus,135.0,False,dump_bottom
210,6,0.5,0.319047619047619,1.5671641791044777,0.29172107740222963,0.2787212787212787,0.31116666666666665,3,0.6666666666666666,0.3,2.2222222222222223,moon-mars,0.0,False,dump_bottom
210,7,0.42857142857142855,0.319047619047619,1.3432835820895523,0.39646401596848224,0.36663336663336665,0.31057142857142855,2,0.5,0.3,1.6666666666666667,moon-uranus,60.0,False,dump_bottom
210,5,0.4,0.319047619047619,1.2537313432835822,0.5105869191824589,0.4925074925074925,0.3094,3,0.6666666666666666,0.3,2.2222222222222223,moon-venus,120.0,False,dump_bottom
210,5,0.4,0.319047619047619,1.2537313432835822,0.5105869191824589,0.4925074925074925,0.3094,0,,0.3,,moon-saturn,150.0,False,dump_bottom
210,5,0.4,0.319047619047619,1.2537313432835822,0.5105869191824589,0.4925074925074925,0.3094,1,0.0,0.3,0.0,moon-uranus,45.0,False,dump_bottom
210,5,0.4,0.319047619047619,1.2537313432835822,0.5105869191824589,0.4925074925074925,0.3094,3,0.3333333333333333,0.3,1.1111111111111112,moon-uranus,135.0,False,dump_bottom
210,6,0.3333333333333333,0.319047619047619,1.044776119402985,0.6200198400725736,0.5874125874125874,0.31116666666666665,4,0.25,0.3,0.8333333333333334,moon-uranus,150.0,False,dump_bottom
210,6,0.3333333333333333,0.319047619047619,1.044776119402985,0.6200198400725736,0.5874125874125874,0.31116666666666665,3,0.0,0.3,0.0,moon-pluto,150.0,False,dump_bottom
210,9,0.3333333333333333,0.319047619047619,1.044776119402985,0.5869808915070949,0.5484515484515484,0.30811111111111117,4,0.5,0.3,1.6666666666666667,sun-mercury,0.0,False,dump_bottom
210,6,0.3333333333333333,0.319047619047619,1.044776119402985,0.6200198400725736,0.5874125874125874,0.31116666666666665,1,1.0,0.3,3.3333333333333335,sun-moon,30.0,False,dump_bottom
210,6,0.3333333333333333,0.319047619047619,1.044776119402985,0.6200198400725736,0.5874125874125874,0.31116666666666665,2,0.5,0.3,1.6666666666666667,moon-venus,60.0,False,dump_bottom
210,7,0.2857142857142857,0.319047619047619,0.8955223880597015,0.7094421697142101,0.6953046953046953,0.31057142857142855,1,0.0,0.3,0.0,moon-mars,45.0,False,dump_bottom
210,7,0.2857142857142857,0.319047619047619,0.8955223880597015,0.7094421697142101,0.6953046953046953,0.31057142857142855,2,0.0,0.3,0.0,moon-saturn,90.0,False,dump_bottom
210,8,0.25,0.319047619047619,0.7835820895522388,0.7804832427072881,0.7702297702297702,0.3095,4,0.0,0.3,0.0,moon-neptune,45.0,False,dump_bottom
210,5,0.2,0.319047619047619,0.6268656716417911,0.8535856264499825,0.8441558441558441,0.3094,1,0.0,0.3,0.0,moon-pluto,90.0,False,dump_bottom
210,5,0.2,0.319047619047619,0.6268656716417911,0.8535856264499825,0.8441558441558441,0.3094,1,0.0,0.3,0.0,moon-neptune,60.0,False,dump_bottom
210,5,0.2,0.319047619047619,0.6268656716417911,0.8535856264499825,0.8441558441558441,0.3094,2,0.0,0.3,0.0,moon-venus,30.0,False,dump_bottom
210,5,0.2,0.319047619047619,0.6268656716417911,0.8535856264499825,0.8441558441558441,0.3094,1,0.0,0.3,0.0,moon-neptune,180.0,False,dump_bottom
210,6,0.16666666666666666,0.319047619047619,0.5223880597014925,0.9002987837254642,0.9040959040959041,0.31116666666666665,1,0.0,0.3,0.0,moon-uranus,30.0,False,dump_bottom
210,6,0.16666666666666666,0.319047619047619,0.5223880597014925,0.9002987837254642,0.9040959040959041,0.31116666666666665,4,0.25,0.3,0.8333333333333334,moon-mercury,120.0,False,dump_bottom
210,6,0.16666666666666666,0.319047619047619,0.5223880597014925,0.9002987837254642,0.9040959040959041,0.31116666666666665,0,,0.3,,moon-jupiter,30.0,False,dump_bottom
210,6,0.16666666666666666,0.319047619047619,0.5223880597014925,0.9002987837254642,0.9040959040959041,0.31116666666666665,1,0.0,0.3,0.0,moon-mars,60.0,False,dump_bottom
210,7,0.14285714285714285,0.319047619047619,0.44776119402985076,0.9321082193940066,0.939060939060939,0.31057142857142855,3,0.0,0.3,0.0,moon-venus,0.0,False,dump_bottom
210,7,0.14285714285714285,0.319047619047619,0.44776119402985076,0.9321082193940066,0.939060939060939,0.31057142857142855,3,0.0,0.3,0.0,moon-neptune,90.0,False,dump_bottom
210,8,0.125,0.319047619047619,0.3917910447761194,0.9537689303492521,0.951048951048951,0.3095,1,0.0,0.3,0.0,moon-mercury,60.0,False,dump_bottom
210,5,0.0,0.319047619047619,0.0,1.0,1.0,0.3094,2,0.0,0.3,0.0,moon-mercury,45.0,False,dump_bottom
210,5,0.0,0.319047619047619,0.0,1.0,1.0,0.3094,1,0.0,0.3,0.0,moon-mercury,150.0,False,dump_bottom
210,6,0.0,0.319047619047619,0.0,1.0,1.0,0.31116666666666665,3,0.0,0.3,0.0,sun-moon,0.0,False,dump_bottom
227,5,0.8,0.36123348017621143,2.2146341463414636,0.06053403984638468,0.056943056943056944,0.36,2,0.5,0.3191489361702128,1.5666666666666667,moon-mercury,150.0,False,pump_top
227,6,0.6666666666666666,0.36123348017621143,1.8455284552845528,0.1300102741055508,0.14385614385614387,0.35866666666666663,3,0.6666666666666666,0.3191489361702128,2.0888888888888886,sun-moon,135.0,False,pump_top
227,5,0.6,0.36123348017621143,1.6609756097560977,0.25286459078334456,0.25374625374625376,0.36,2,0.0,0.3191489361702128,0.0,sun-moon,120.0,False,pump_top
227,5,0.6,0.36123348017621143,1.6609756097560977,0.25286459078334456,0.25374625374625376,0.36,1,0.0,0.3191489361702128,0.0,moon-mars,60.0,False,pump_top
227,6,0.5,0.36123348017621143,1.3841463414634148,0.3757189074611383,0.36863136863136864,0.35866666666666663,1,0.0,0.3191489361702128,0.0,moon-mars,120.0,False,pump_top
227,8,0.5,0.36123348017621143,1.3841463414634148,0.3179860331893152,0.3276723276723277,0.362375,1,0.0,0.3191489361702128,0.0,moon-uranus,120.0,False,pump_top
